The decision that was made yesterday affects the company .	affects	"_,_,_,_,_,_,x,_,_,_"	"O,ARG0,O,O,O,O,O,O,O,O"
"He , because he was very hungry , bought apples ."	bought	"_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O"
"She , who absolutely loves literature , writes poems ."	writes	"_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O"
"They , although they were incredibly poor , built houses ."	built	"_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O"
"We , since the soil was fertile , planted trees ."	planted	"_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O"
"I , while my brother was studying , cooked dinner ."	cooked	"_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O"
"You , when you dropped the heavy tray , broke glasses ."	broke	"_,_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O,O"
"He , who was visibly angry , threw rocks ."	threw	"_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O"
"She , after she bought a new rod , caught fish ."	caught	"_,_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O,O"
"They , who worked well together , solved puzzles ."	solved	"_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O"
"We , as the sun went down , sang songs ."	sang	"_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O"
"I , when I looked at the sky , saw birds ."	saw	"_,_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O,O"
"You , because you rushed the complex process , made mistakes ."	made	"_,_,_,_,_,_,_,_,_,x,_,_"	"ARG0,O,O,O,O,O,O,O,O,O,O,O"
